recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps
Beef Pho,Beef Recipes,Veal Recipes,"This beef pho features a comforting, richly-seasoned meat broth ladled over rice noodles and thinly sliced sirloin. Serve with hoisin, Sriracha, green onion, cilantro, bean sprouts, basil, and lime.","[""5 pounds beef soup bones"", ""1 tablespoon salt, divided"", ""2 gallons water"", ""2 medium onions, quartered"", ""1 (4 inch) piece fresh ginger root"", ""2 pounds beef oxtail"", ""1 white (daikon) radish, sliced"", ""2 ounces whole star anise pods"", ""\u00bd (3 inch) cinnamon stick"", ""1 teaspoon black peppercorns"", ""2 whole cloves"", ""1 tablespoon white sugar"", ""1 tablespoon fish sauce"", ""salt to taste""]","[""Gather all ingredients."", ""Make broth: Place beef bones in a 9-quart (or larger) pot; season with 1 teaspoon salt. Pour water into the pot and bring to a boil. Reduce heat and simmer broth for about 2 hours."", ""Meanwhile, set an oven rack about 6 inches from the heat source and preheat the oven's broiler. Line a 10x15-inch roasting pan with aluminum foil."", ""Place onions and unpeeled ginger onto the prepared roasting pan and cook under the preheated broiler, stirring occasionally, until vegetables are charred, 10 to 15 minutes."", ""Cool slightly. Chop onions, then peel and slice ginger; set aside separately."", ""Skim fat from surface of simmering broth. Add oxtail, radish, and charred onions to broth. Tie charred ginger, anise, cinnamon stick, peppercorns, and cloves in cheesecloth to make a bouquet garni; add to broth. Stir in sugar, fish sauce, and remaining 2 teaspoons salt. Simmer over medium-low heat for at least 4 hours (the longer, the better). Season with salt."", ""Strain broth. Discard bones and bouquet garni. Reserve meat from bones for another use. Chill broth in the refrigerator, 8 hours to overnight."", ""Skim and discard fat from the top of chilled broth. Pour broth into a pot; bring to a boil. Reduce heat and keep hot until ready to serve."", ""Bring a pot of water to a boil. Turn off heat. Stir in rice noodles and let sit until noodles are tender yet chewy, 6 to 10 minutes."", ""Meanwhile, cut frozen sirloin into paper-thin slices."", ""Drain and divide noodles among bowls, about 1 1/2 cups per serving. Top each with a few sirloin slices. Ladle hot broth over sirloin and noodles."", ""Serve and enjoy!""]",14,12
Beef Tenderloin With Roasted Shallots,Beef Recipes,Beef Short Loin,"The shallot sauce takes some time, but is well worth the trouble. This is definitely a company dish, and the recipe doubles well for a larger party. Serve with a green salad and roasted vegetables.","[""\u00be pound shallots, halved lengthwise and peeled"", ""1 \u00bd tablespoons olive oil"", ""salt and pepper to taste"", ""3 cups beef broth"", ""\u00be cup port wine"", ""1 \u00bd teaspoons tomato paste"", ""2 pounds beef tenderloin roast, trimmed"", ""1 teaspoon dried thyme"", ""3 slices bacon, diced"", ""3 tablespoons butter"", ""1 tablespoon all-purpose flour"", ""4 sprigs watercress, for garnish""]","[""Preheat oven to 375 degrees F (190 degrees C). In 9 inch pie pan, toss shallots with oil to coat. Season with salt and pepper. Roast until shallots are deep brown and very tender, stirring occasionally, about 30 minutes."", ""In a large saucepan, combine beef broth and port. Bring to a boil. Cook over high heat until the volume is reduced by half, about 30 minutes. Whisk in tomato paste. Set aside."", ""Pat beef dry; sprinkle with thyme, salt and pepper. In a large roasting pan, set over medium heat on the stove top, saute bacon until golden. Using a slotted spoon, transfer bacon to paper towels. Add beef to pan; brown on all sides over medium high heat, about 7 minutes."", ""Transfer pan to oven. Roast beef until meat thermometer inserted into center registers 125 degrees F (50 degrees C) for medium rare, about 25 minutes. Transfer beef to platter. Tent loosely with foil."", ""Spoon fat off top of pan drippings in roasting pan. Place pan over high heat on stove top. Add broth mixture, and bring to boil; stir to scrape up any browned bits. Transfer to a medium saucepan, and bring to simmer. Mix 1 1/2 tablespoon butter and flour in small bowl to form smooth paste; whisk into broth mixture, and simmer until sauce thickens. Whisk in remaining butter. Stir in roasted shallots and reserved bacon. Season with salt and pepper."", ""Cut beef into 1/2 inch thick slices. Spoon some sauce over, and garnish with watercress.""]",12,6
"Beet, Orange, and Apple Salad",Easter,Easter Salads,"This beet and orange salad is a nice, colorful salad. Wedges of cooked beets, sliced apples, and orange sections are dressed with a delicious vinaigrette and spooned onto a bed of shredded beet greens.","[""1 \u00bd pounds beets"", ""2 cups shredded beet greens"", ""1 large orange, peeled and sectioned"", ""2 Granny Smith apples - peeled, cored and sliced"", ""1 tablespoon olive oil"", ""1 tablespoon raspberry vinegar"", ""\u00bd teaspoon white sugar"", ""\u00bc teaspoon salt"", ""1 clove garlic, minced"", ""2 tablespoons unsalted sunflower seeds, toasted""]","[""Wash and dry beets and greens. Shred greens to measure 2 cups and set aside."", ""Place beets in a sauce pan with enough water to cover. Bring to a boil, cover, reduce heat and simmer for 20 minutes or until tender. Drain and allow to cool."", ""Trim and peel skins off beets; cut into 8 wedges."", ""Combine orange sections, beets, and apples in a bowl."", ""Whisk olive oil, vinegar, sugar, salt and garlic together in a bowl; pour over beet mixture and toss well."", ""Arrange 1/2 cup beet greens on 4 salad plates. Top with beet mixture, sprinkle with sunflower seeds and serve.""]",10,6
Brown Butter Carrot Sheet Cake with Brown Butter-Cream Cheese Frosting,Cakes,Carrot Cake,"This carrot cake not only feeds a crowd, but it also gets an extra delicious flavor from the addition of brown butter to both the cake and the frosting. Top cake with candied carrot slices and toasted finely chopped walnuts, if desired.","[""1 cup unsalted butter"", ""1 \u00be cups all-purpose flour"", ""2 teaspoons baking soda"", ""\u00bd teaspoon baking powder"", ""1 \u00bd teaspoons ground cinnamon"", ""\u00bd teaspoon ground allspice"", ""\u00bd teaspoon ground nutmeg"", ""\u00bd teaspoon salt"", ""1 cup firmly packed dark brown sugar"", ""4 eggs, at room temperature"", ""1 \u00bd teaspoons vanilla extract"", ""3 cups peeled and shredded carrots"", ""\u00bd cup chopped walnuts"", ""\u00bd cup raisins""]","[""Place butter in a light-colored saucepan over medium heat. Cook, swirling the pan constantly, until butter is bubbling, smells nutty, and browned bits begin to form on the bottom of the pan, 5 to 10 minutes. Immediately remove from heat and pour butter into a heat-safe bowl. Allow brown butter to cool to room temperature, about 15 minutes."", ""Preheat the oven to 325 degrees F (165 degrees C). Grease a 12x16-inch pan and line with parchment paper."", ""Whisk flour, baking soda, baking powder, cinnamon, allspice, nutmeg, and salt together in a bowl until well combined."", ""Beat cooled brown butter and brown sugar in a large bowl with an electric mixer on medium speed until well combined. Beat in eggs, one at a time, mixing well after each addition, until mixture is light and fluffy. Mix in vanilla. Pour in 1/2 of the flour mixture and mix until just combined. Add in remaining flour mixture and mix until just combined."", ""Fold in shredded carrots, walnuts, and raisins. Pour batter into the prepared pan and smooth out the top with a spatula."", ""Bake in the preheated oven until cake is golden and a toothpick inserted into the center of it comes out clean, 23 to 27 minutes. Transfer onto a wire rack and cool completely, about 30 minutes."", ""While cake is cooling, repeat step 1 to brown butter for the frosting. Let cool to room temperature, about 15 minutes."", ""Beat cream cheese in a large bowl with an electric mixer on medium-high speed until completely smooth. Add in cooled brown butter and mix until thoroughly combined. Mix in powdered sugar, 1 cup at a time, beating well after each addition. Mix in vanilla and salt. Beat frosting at medium-high speed until completely smooth, 1 to 2 minutes."", ""Spread frosting over the cooled cake. Chill cake until ready to serve.""]",14,9
Bruschetta Chicken Pasta Salad,Pasta Salads,Pasta Salads,Summertime is the perfect time for all things pasta salad and grilling related. This bruschetta chicken pasta salad is bursting with flavor and topped with vibrant colorful tomatoes.,"[""1 pound boneless skinless chicken breasts"", ""1 cup vinaigrette"", ""1 pound fusilli"", ""3 pints cherry tomatoes"", ""3 tablespoons olive oil"", ""cloves garlic, minced"", ""leaves basil"", ""salt and freshly ground black pepper to taste"", ""1 tablespoon balsamic glaze, or as needed""]","[""Place a chicken breast on a flat work surface. Slice horizontally through the middle, being careful not to cut all the way through to the other side. Open the 2 sides and spread them out like an open book. Repeat with remaining chicken breasts. Add chicken and vinaigrette to a resealable plastic bag; seal the bag and place in the refrigerator to marinate overnight."", ""Preheat an outdoor grill to 400 degrees F (200 degrees C)."", ""Discard vinaigrette, and place chicken on the grill. Grill for 4 to 5 minutes. Turn chicken breast over with tongs. Continue to cook until juices no longer run pink, and an instant-read thermometer reads 165 degrees F (74 degrees C), 4 to 5 minutes more."", ""Meanwhile, bring a large pot of lightly salted water to a boil. Cook fusilli in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes. Drain pasta and immediately submerge pasta in an ice water bath."", ""Cut tomatoes in half and place in a bowl. Add oil, minced garlic, and basil. Season to taste with salt and pepper."", ""Drain pasta again; add to tomato mixture. Lightly toss to distribute tomatoes and combine. Top with grilled chicken breast, and drizzle with balsamic glaze.""]",9,6
Buffalo Chicken Wings in a Jar,Buffalo Chicken Wings,Buffalo Chicken Wings,"This fun-sized take on the game day appetizer offers everything you love about Buffalo wings, minus the bones, messy frying, and any risk of your drunk friends dripping sauce all over the place. Instead of wings, we simply take chicken thighs, simmer them directly in butter 'n hot sauce, shred, and mix with celery. The blue cheese comes in the accompanying crostini: baguette slices toasted and spread with butter and blue cheese.","[""1 \u00bd pounds bone-in, skin-on chicken thighs"", ""1 teaspoon salt"", ""\u00bc cup unsalted butter"", ""\u00bc cup Louisiana-style hot sauce"", ""3 tablespoons water"", ""\u2153 cup finely chopped celery"", ""1 pinch cayenne pepper, or to taste (Optional)""]","[""Heat a dry saucepan over high heat. Place thighs skin-side down in the hot pan and cook until skin is browned, seasoning generously with salt, about 5 minutes. Turn thighs over once skin no longer sticks to the pan. Add butter, Louisiana hot sauce, and water. Toss thighs around to stir the sauce until butter is melted."", ""Reduce heat to low, cover, and simmer until meat can be easily pulled from the bone, about 1 1/2 hours. Remove from heat and break meat up into smaller pieces using tongs, stirring it into the sauce. Let mixture cool to room temperature, at least 20 minutes."", ""Transfer meat to a mixing bowl, shredding it into smaller pieces. Discard bones, cartilage, and skin."", ""Bring the sauce in the pan to a boil over medium-high heat. Let reduce until slightly thickened, about 2 minutes. Pour sauce into the bowl of chicken meat and mix thoroughly. Taste for seasoning; add salt, cayenne, and hot sauce as needed. Add celery and mix one last time."", ""Pack chicken mixture into a pint-sized jar or crock, and top with a spoonful of hot sauce if desired, and seal jar. Refrigerate until ready to serve. Remove from fridge 30 minutes before service to allow spread to warm up a bit."", ""Preheat the oven to 350 degrees F (175 degrees C) in the meantime. Arrange baguette slices on a baking sheet. Brush tops generously with butter."", ""Bake in the preheated oven until edges start to turn golden brown, about 20 minutes."", ""Meanwhile, smear butter and blue cheese together in a small bowl until combined."", ""Remove toasted baguette slices and let cool slightly, leaving the oven on. Spread blue cheese spread on top, then continue baking crostini until golden brown and crispy, 10 to 12 minutes. Serve with the Buffalo chicken spread.""]",7,9
Chicageaux Spicy Smokehouse Tots,Casseroles,Chicken Casserole,"These tater tots are loaded with saucy, spicy chicken, cheese, and queso blanco. We kept it spicy for the great folks at Frank's Red Hot.","[""1 (32 ounce) package frozen bite-size potato nuggets (such as Tater Tots\u00ae)"", ""3 tablespoons olive oil, divided, or as needed"", ""3 tablespoons barbeque seasoning, divided, or to taste"", ""4 skinless, boneless chicken thighs"", ""4 tablespoons butter"", ""2 1/2 cups hot pepper sauce (such as Frank's RedHot\u00ae), or to taste"", ""1 tablespoon hot honey, or to taste"", ""2 cups shredded Mexican-style cheese blend"", ""1 cup white Mexican cheese sauce (queso blanco)"", ""\u00bc cup pickled red onions, or to taste"", ""1 tablespoon chopped fresh parsley, or to taste""]","[""Preheat the oven to 425 degrees F (220 degrees C). Spray a rimmed baking sheet with cooking spray. Spread frozen tater tots in a single layer on prepared pan; drizzle lightly with about 1 tablespoon olive oil; season with about 1 tablespoon barbecue rub."", ""Bake in the preheated oven until golden brown and heated through, about 25 minutes, or according to package directions."", ""Place chicken thighs and remaining 2 tablespoons olive oil in a large bowl. Season liberally with barbeque rub (about 1 tablespoon); toss to coat. Sear chicken in a non-stick skillet over high heat, turning occasionally, until deeply browned; reduce heat to medium."", ""Meanwhile, melt butter in a small saucepan over medium-low heat; stir in hot sauce, hot honey, and season to taste with barbecue rub; bring to a simmer."", ""Pour honey hot sauce over chicken in the skillet; increase heat to medium-high and cook chicken, basting constantly with the sauce, until chicken is fully cooked and coated with a shiny glaze, about 5 minutes. Chicken juices should run clear, and an instant-read thermometer inserted near the center should reach 165 degrees F (74 degrees C). Remove chicken to a cutting board; slice chicken into bite-sized pieces."", ""Warm cheese sauce in the microwave on 50% power until hot, about 1 minute, stirring every 30 seconds."", ""Arrange tater tots on a serving platter (or assemble on the sheet pan). Top tots with chicken and any remaining sauce from the pan; sprinkle with shredded cheese. Use a kitchen torch to melt cheese. Drizzle on additional hot sauce to taste and queso blanco; garnish with pickled red onion and parsley.""]",11,7
Chopped Liver the Real Mccoy,Hanukkah,Hanukkah Appetizers,No recipe site is complete without a real recipe for real chopped liver. This makes for a great appetizer or spread for a pastrami and corned beef sandwich.,"[""4 eggs"", ""1 \u00bd pounds beef liver, rinsed"", ""1 pound chicken livers, rinsed"", ""2 tablespoons corn oil"", ""2 tablespoons rendered chicken fat"", ""2 tablespoons corn oil"", ""4 cups chopped onion"", ""2 teaspoons salt"", ""\u00bd teaspoon ground black pepper"", ""1 tablespoon rendered chicken fat""]","[""Place the eggs into a saucepan in a single layer and fill with water to cover the eggs by 1 inch. Cover the saucepan and bring the water to a boil over high heat. Once the water is boiling, remove from the heat and let the eggs stand in the hot water for 15 minutes. Pour out the hot water, then cool the eggs under cold running water in the sink. Peel once cold."", ""Preheat the oven's broiler and set the oven rack about 6 inches from the heat source."", ""Coat beef and chicken livers with 2 tablespoons of corn oil, then spread livers on a baking sheet. Broil in the preheated oven until brown on the top, 8 to 10 minutes. Flip the livers and continue to broil until the livers are no longer pink in the center and juices run clear, about 5 minutes. Place livers in a bowl and chill in the refrigerator."", ""Heat 2 tablespoons of chicken fat and 2 tablespoons corn oil in a large skillet over medium-high heat. Stir in the onion; cook and stir until the onion has softened and turned translucent, about 10 minutes. Reduce heat to medium-low, and continue cooking and stirring until the onion is very tender and dark brown, 15 to 20 minutes more. Place onion in a bowl; cover and refrigerate until chilled."", ""Finely chop the chilled beef and chicken livers, chilled onions, and hardboiled eggs together, then place in a bowl. Stir in the remaining 1 tablespoon of chicken fat. Season with salt and pepper. Refrigerate until ready to serve.""]",10,5
Chorizo Queso Potato Bombs,Appetizers And Snacks,Cheese Appetizers,"Try these chorizo queso potato bombs if you feel like trying out something new. The perfect appetizer, they are crunchy on the outside and rich and creamy on the inside.","[""2 medium potatoes (2 to 3 inch long)"", ""2 teaspoons kosher salt"", ""1/2 lbcooked, ground chorizo sausage"", ""1/2 cup queso dip"", ""1 cup shredded Monterey Jack cheese"", ""2 large eggs"", ""1 cup breadcrumbs"", ""1 tablespoon oil""]","[""Place potatoes and salt in a medium saucepan and add water to cover by one inch. Place pot over high heat and bring to a boil. Cook until just tender, 8 to 10 minutes. Potatoes should not be soft. Drain and set aside until cool enough to handle."", ""Slice potatoes in half across the center and scoop out the center flesh carefully, leaving a 1/8 of an inch border of flesh. Combine sausage and queso in a medium bowl and stir until creamy."", ""Place about 1 teaspoon chorizo mixture in one potato half and place 1 to 2 teaspoons of shredded cheese in the corresponding potato half. Press the two halves together allowing the starch from the potato to hold together as best as possible. Coat each potato in egg, allowing excess todrip, and lightly coat in breadcrumbs, taking care not to allow the potatohalves to separate."", ""Preheat an airfryer to to 400 degrees F (200 degrees C). Spray potatoes lightly with oil or cooking spray."", ""Air fry in batches if necessary until golden and crispy, 8 to 10 minutes. Let stand for 5 minutes before serving.""]",8,5
Classic Beef Empanadas,Appetizers And Snacks,Pastry Appetizers,"This authentic empanada recipe is for Argentinian beef empanadas filled with a savory and delicious mixture of ground beef, hard-cooked eggs, green olives, and potatoes. These classic empanadas are ubiquitous all over Argentina.","[""2 medium potatoes"", ""1 tablespoon butter"", ""2 onion, chopped"", ""3 green onions, chopped"", ""1 red bell pepper, chopped"", ""1 pound lean ground beef"", ""1 teaspoon paprika"", ""\u00bd teaspoon cayenne pepper"", ""salt to taste"", ""\u00be cup green olives, pitted and chopped"", ""2 hard-cooked eggs"", ""1 tablespoon olive oil"", ""24 empanada pastry rounds"", ""1 egg, lightly beaten""]","[""Place potatoes in a large pot and cover with water; bring to a boil. Reduce heat to medium-low and simmer until barely tender, about 8 minutes. Drain. Once cool enough to handle, peel and cut into cubes. Set aside."", ""Meanwhile, melt butter in a large skillet and cook onion and green onions until softened, about 5 minutes. Add bell pepper and cook for 3 minutes. Add ground beef; cook and stir until beef is browned, about 5 minutes. Season with paprika, cayenne pepper, and salt."", ""Remove beef mixture from heat; add potatoes and olives. Stir in chopped hard-cooked eggs; set filling aside to cool, about 20 minutes."", ""Preheat the oven to 425 degrees F (220 degrees C). Line 2 baking sheets with aluminum foil and lightly grease with olive oil."", ""Place an empanada pastry round on a flat surface and lightly wet the edges with warm water. Put a large tablespoon of cooled filling in the center and fold dough over. Seal edges by pressing with a fork. Repeat with remaining rounds and filling. Transfer empanadas to the prepared baking sheets and brush with beaten egg."", ""Bake in the preheated oven until golden brown, 15 to 20 minutes.""]",14,6
Comforting Scalloped Potatoes,Easter,Scalloped Potatoes,Spread warm wishes and full bellies with this delightful dish from Amber Wilson of For The Love Of The South,"[""2 pounds Yukon Gold potatoes, peeled, sliced 1/4-inch thick"", ""1 whole garlic clove"", ""4 tablespoons unsalted butter, melted, plus more for greasing pan"", ""2 cups heavy cream"", ""1 tablespoon fresh thyme, leaves only"", ""1 cup freshly grated Parmesan cheese, divided"", ""Salt and pepper to taste"", ""Reynolds Wrap\u00ae Aluminum Foil""]","[""Preheat oven to 375 degrees F. Line a rimmed baking sheet with Reynolds Wrap\u00ae Aluminum Foil. Set aside. The sheet will catch any spills in the oven later on."", ""Place the potato slices in a large pot and cover with cold water. Season with salt and bring to boil for 5 minutes. Drain in a colander and allow the potatoes to steam for 1 minute."", ""Rub a 10-inch baking dish with the garlic clove and generously butter the dish. Finely chop the garlic. Set aside."", ""With the heat off, transfer the potatoes back to the pot and add heavy cream, thyme, half of the Parmesan cheese, chopped garlic, melted butter, salt and pepper. Stir all of the ingredients together until the potatoes are well coated."", ""Layer the potatoes on top of each other in the buttered baking dish. Pour any remaining liquid on top of the potatoes. Place the baking dish on the prepared baking sheet. Cover the baking dish with foil and bake for 40 minutes. Remove the foil from the baking dish, add the remaining cheese and bake for 15-20 minutes, or until golden brown.""]",8,5
Copycat Chicken Fritta,Italian,Italian,"This copycat chicken fritta features juicy fried chicken cutlets with a delicate, lightly crisp Asiago and breadcrumb crust, served over fettuccine in a luxurious, creamy Asiago cheese sauce. You'll love this homemade version of the Olive Garden favorite.","[""12 ounces fettuccine"", ""1 1/2 cups Italian"", ""1/4 cup all-purpose flour"", ""2 1/2 cups Asiago cheese, divided"", ""1 cup whole milk"", ""4 4 ounce chicken breast cutlets"", ""3 teaspoons kosher salt, divided"", ""1/2 teaspoon black pepper, divided"", ""2 2cups vegetable oil for frying, or as needed"", ""1/4 cup unsalted butter"", ""1 tablespoon garlic"", ""1 1/2 cups heavy whipping cream"", ""1 tablespoon parsley""]","[""Preheat the oven to 200 degrees F (95 degrees C). Line a rimmed baking sheet with paper towels, and set a wire rack inside."", ""Bring a large pot of lightly salted water to a rolling boil. Cook fettuccine at a boil until tender yet firm to the bite, about 8 minutes. Drain pasta in a colander over a heatproof bowl; reserve 1 1/2 cups pasta cooking water. Set fettuccine aside, and reserve pot."", ""While pasta cooks, stir together breadcrumbs, flour, and 1/2 cup Asiago in a shallow dish until combined. Pour milk into a separate shallow dish. Season chicken on both sides with 1 teaspoon of the salt and 1/4 teaspoon of the pepper. Working with 1 cutlet at a time, dredge chicken in breadcrumb mixture. Dip in milk, and coat again in breadcrumb mixture, pressing firmly to adhere. Place prepared chicken on a plate."", ""Pour oil to a depth of 1/4-inch in a large skillet; heat oil over medium-high heat to 350 degrees F (175 degrees C). Place prepared chicken in hot oil, and pan-fry until golden brown and cooked through, 2 to 3 minutes per side. Transfer fried chicken to the prepared wire rack. Once all chicken is fried, remove paper towels."", ""Place the baking sheet in the preheated oven to keep chicken warm until ready to serve."", ""Melt butter over medium heat in the reserved pasta pot. Add garlic, and cook, stirring constantly, until fragrant and butter is foamy, about 2 minutes. Stir in heavy cream, and cook until bubbling, about 2 minutes. Whisk in remaining 2 cups Asiago, stirring constantly until thickened, 1 to 2 minutes."", ""Add cooked pasta, and remaining 2 teaspoons salt and 1/4 teaspoon pepper; cook, stirring constantly, until pasta is coated in sauce, about 2 minutes, adding reserved cooking liquid as needed, 1/4 cup at a time, to thin the sauce."", ""Slice chicken. Divide pasta among 4 large plates; top evenly with chicken, and garnish with parsley.""]",13,8
"Crispy Turnip ""Fries""",Low Calorie,Low-Calorie Side Dishes,"Delicious crispy turnip ""fries."" My daughters and I are on a low-carb diet and were looking for something to curb our French fry cravings. I've heard that turnips can be made into some great fries. I experimented with it and came up with this. You can add whatever spices you'd like.","[""3 pounds turnips"", ""1 tablespoon vegetable oil"", ""\u2153 cup grated Parmesan cheese"", ""1 teaspoon garlic salt"", ""1 teaspoon paprika"", ""1 teaspoon onion powder""]","[""Preheat the oven to 425 degrees F (220 degrees C). Line a baking sheet with a piece of aluminum foil and lightly grease."", ""Peel turnips, and cut into French fry-sized sticks, about 1/3 inch by 4 inches. Place into a large bowl and toss with vegetable oil to coat."", ""Combine Parmesan, garlic salt, paprika, and onion powder in a resealable plastic bag; shake until well mixed."", ""Place turnips into the bag and shake until evenly coated with the spices."", ""Spread out onto the prepared baking sheet."", ""Bake in the preheated oven until the outside is crispy and the inside is tender, about 20 minutes. Serve immediately.""]",6,6
Decadent Cinnamon Roll Peach Cobbler,Cobblers,Peach Cobbler,"This peach cobbler is easy to make and very decadent. The use of store-bought cinnamon rolls makes it even faster to make. Serve with vanilla ice cream, if desired.","[""cooking spray"", ""1 cup all-purpose flour"", ""\u00bd cup packed brown sugar"", ""\u00bd cup butter, cubed"", ""\u00bc teaspoon Georgia peach spice (such as Savory Spice Shop\u00ae)"", ""\u00bc teaspoon salt""]","[""Preheat the oven to 350 degrees F (175 degrees C). Coat a 9x9-inch baking dish with cooking spray."", ""Pulse flour, brown sugar, butter, peach spice, and salt together in a food processor until the mixture resembles pea-sized crumbs. Press mixture into the bottom of the prepared baking dish."", ""Bake crust in the preheated oven until golden and set, about 15 minutes."", ""While crust is baking, heat a saucepan over medium heat. Pour reserved peach juice into the saucepan; stir in sugar, cornstarch, and peach spice until smooth. Bring to a boil; cook and stir until thickened, about 2 minutes. Remove from heat; stir in canned and frozen peaches."", ""Remove crust from the oven and let cool for 5 minutes. Pour peach mixture into the crust."", ""Bake in the preheated oven until bubbling, about 20 minutes."", ""Meanwhile, combine cinnamon rolls together to form a square pastry disc. Roll out disc with a rolling pin on a lightly floured work surface. Cut into thin strips using a pizza cutter. Weave strips together to create a lattice topping."", ""Remove the baking dish from the oven; lay lattice over the peaches. Increase oven temperature to 375 degrees F (190 degrees C)."", ""Bake cobbler in the preheated oven until golden brown, about 12 minutes. Drizzle the included cinnamon roll icing over the lattice crust. Serve warm.""]",6,9
Easy Baked Falafel with Cucumber-Yogurt Sauce,Falafel,Falafel,"Try this Middle Eastern sandwich of chickpea and spice 'meatballs,' which are actually falafel that are oven-fried to keep their calorie count down. Serve with grilled pita wedges or pita pockets, diced tomatoes, shredded lettuce, and cucumber slices.","[""cooking spray"", ""2 tablespoons olive oil, divided"", ""1 (15 ounce) can chickpeas, drained and rinsed"", ""\u00be onion, diced"", ""\u00bc cup packed chopped fresh cilantro"", ""\u00bc cup packed chopped fresh parsley"", ""3 cloves garlic, smashed"", ""1 small lemon, zested"", ""\u00bd teaspoon ground cumin"", ""\u00bd teaspoon kosher salt"", ""\u00bd teaspoon red pepper flakes"", ""\u00bd teaspoon baking powder"", ""\u2153 cup all-purpose flour"", ""1 egg, beaten""]","[""Coat a 9x13-inch metal baking pan with cooking spray and 1 tablespoon olive oil and place inside the oven. Preheat the oven to 375 degrees F (190 degrees C). C"", ""Combine chickpeas, onion, cilantro, parsley, garlic, lemon zest, cumin, salt, red pepper flakes, and baking powder in a food processor. Pulse until minced but not yet pasty. Transfer to a bowl and stir in flour and egg until fully incorporated."", ""Remove baking pan from the oven. Drop golfball-sized portions of chickpea mixture onto the hot pan."", ""Bake in the preheated oven 15 to 20 minutes. Brush falafel with remaining olive oil and flip over. Continue baking until golden on both sides, 15 to 20 minutes more."", ""Meanwhile, combine yogurt, cucumber, lemon juice, and garlic in a bowl. Season with salt and cayenne pepper. Store in the refrigerator until ready to serve."", ""Serve falafel with yogurt sauce.""]",14,6
Eggplant Rollatini,Main Dishes,Fall Main Dishes,"After having a delicious eggplant rollatini at an Italian restaurant, I decided I just had to learn how to make it! Hope you enjoy my recipe.","[""1 eggplant, peeled and cut lengthwise into \u00bc-inch slices"", ""1 egg, beaten"", ""1 cup Italian seasoned bread crumbs"", ""2 tablespoons olive oil"", ""1 cup ricotta cheese"", ""10 slices prosciutto"", ""1 (14 ounce) jar tomato pasta sauce"", ""2 cups shredded mozzarella cheese"", ""1 pound angel hair pasta (Optional)""]","[""Gather the ingredients."", ""Dip eggplant slices in egg, then coat with bread crumbs. Heat olive oil in a large skillet over medium-high heat."", ""Fry eggplant slices on each side until golden brown. Remove to a paper towel lined plate to drain. Preheat the oven to 350 degrees F (175 degrees C)."", ""Spread a thin layer of ricotta cheese onto each slice of eggplant. Place a slice of prosciutto onto each one. Roll up tightly, and place seam-side down in a 9x13-inch baking dish. Pour tomato pasta sauce over eggplant rolls, and top with shredded mozzarella cheese."", ""Bake for 15 minutes in the preheated oven, until the cheese is melted and lightly browned."", ""If you want to serve the eggplant rollatini on pasta, bring a large pot of lightly salted water to a boil while eggplant rolls are baking. Add pasta, and cook for 2 to 3 minutes, until tender. Drain."", ""Serve eggplant rolls and sauce over pasta.""]",9,7
Homemade Gluten-Free Gnocchi,Dumplings,Dumplings,"This gluten-free gnocchi tastes like potatoes with a bouncy texture, even without gluten. This recipe uses a trick from the past when Italian cooks would toss potatoes into a fire or oven that was being cooled down so as not to waste the heat. Surplus baked potatoes became gnocchi because they have very little moisture (the secret to firm gnocchi) and they have a roasted potato flavor which is delicious!","[""1 \u00bd pounds potatoes"", ""1 egg at room temperature, lightly beaten"", ""\u2153 cup potato starch"", ""1 tablespoon sweet rice flour"", ""\u00bd teaspoon fine salt"", ""2 tablespoons rice flour, or as needed""]","[""Preheat the oven to 400 degrees F (200 degrees C). Prick each potato a few times with a fork and place on a baking sheet."", ""Bake potatoes in the preheated oven until tender when pierced with a knife, about 50 minutes. Cool until easily handled, about 10 minutes."", ""Peel potatoes and pass through a ricer or food mill into a large bowl. Make a well in the center and pour in egg; mix well."", ""Whisk potato starch, sweet rice flour, and salt together in a bowl. Sprinkle over potato mixture; stir until a soft dough has formed. Cut dough into 4 equal parts with a knife or pastry cutter."", ""Dust the work surface with rice flour to keep dough from sticking. Roll out 1 piece of dough into a rope about 1 inch in diameter. Cut into 1-inch gnocchi. Gently roll each one with the back of a fork to create ridges. Repeat with remaining dough."", ""Shake off any excess rice flour and let gnocchi rest, about 5 minutes."", ""Bring a large pot of salted water to a boil. Add gnocchi in batches and cook, without stirring, until they float to the top, 1 to 2 minutes. Remove with a slotted spoon.""]",6,7
